id;DESCRIPTION;price;link;image_link;availability;brand;delivery_time;gtin_ean;product_type;sale_price;size;stock;title
BN59-01312B;Mando a Distancia Samsung BN59-01312B, NUEVO y ORIGINAL;31.36;https://www.sspelectronic.com/producto/20-;https://www.sspelectronic.com/images/productos/img/20-1-original.jpg;S;SAMSUNG;2;1300000000018;Mandos a Distancia;37.95;0.5 x 0.5 x 0.5;-1;Mando a Distancia Samsung BN59-01312B, NUEVO y ORIGINAL
CT-8528;Mando a Distancia TOSHIBA CT-8528, ORIGINAL y NUEVO;14.01;https://www.sspelectronic.com/producto/21-;https://www.sspelectronic.com/images/productos/img/21-1-original.jpg;S;TOSHIBA;2;1300000000019;Mandos a Distancia;16.95;0.5 x 0.5 x 0.5;35;Mando a Distancia TOSHIBA CT-8528, ORIGINAL y NUEVO
KT1744-HG2;Mando a Distancia  KT1744-HG2 TD SYSTEMS K40DLM7F...;16;https://www.sspelectronic.com/producto/23-;https://www.sspelectronic.com/images/productos/img/23-1-original.jpg;S;TD SYSTEM;2;1300000000020;Mandos a Distancia;19.36;0.5 x 0.5 x 0.5;0;Mando a Distancia KT1744-HG2 TD SYSTEMS K40DLM7F...
PiesSilverIPLE-40/410920;Pies TV Silver IPLE-40/410920 Nuevos a estrenar Se incluyen los 4 tornillos de fijación.;12.5;https://www.sspelectronic.com/producto/25-;https://www.sspelectronic.com/images/productos/img/25-1-original.jpg;S;SILVER;2;1300000000021;Soportes, Pies, Peanas...;15.13;0.5 x 0.5 x 0.5;3;Pies TV Silver IPLE-40/410920
CT-8529;Mando a Distancia TOSHIBA CT-8529;20.66;https://www.sspelectronic.com/producto/22-;https://www.sspelectronic.com/images/productos/img/22-1-original.jpg;S;TOSHIBA;2;1300000000022;Mandos a Distancia;25;0.5 x 0.5 x 0.5;1;Mando a Distancia TOSHIBA CT-8529
MaNEVIRNVR7702;Mando a Distancia NEVIR NVR-7702-32RD2-N, Nuevo y Original. AL46D 2-1;12.48;https://www.sspelectronic.com/producto/26-;https://www.sspelectronic.com/images/productos/img/26-1-original.jpg;S;NEVIR;2;1300000000023;Mandos a Distancia;15.1;0.5 x 0.5 x 0.5;0;Mando a Distancia NEVIR NVR-7702-32RD2-N, Nuevo y Original. AL46D 2-1
AD883020;CARGADOR ESP 19V ASUS  AD883020 010H-3LF REV: A01 19V 2.37A;12.4;https://www.sspelectronic.com/producto/27-;https://www.sspelectronic.com/images/productos/img/27-1-original.jpg;S;ASUS;2;1300000000024;Cargadores, Alimentadores AC;15;0.5 x 0.5 x 0.5;0;CARGADOR ESP 19V ASUS AD883020 010H-3LF REV: A01 19V 2.37A
BN94-10712A REV. 1.4;Fuente Alimentación SAMSUNG BN41-02500A Bn94-10712A Rev. 1.4. Samsung UE55KU6000W ...;45;https://www.sspelectronic.com/producto/28-;https://www.sspelectronic.com/images/productos/img/28-1-original.jpg;S;SAMSUNG;2;1300000000025;Fuentes de Alimentación;54.45;0.5 x 0.5 x 0.5;0;Fuente Alimentación SAMSUNG BN41-02500A Bn94-10712A Rev. 1.4. Samsung UE55KU6000W ...
BN94-10711A REV.1.4;Fuente de Alimentación Samsung BN41-02499A BN94-10711A Rev 1.4. UE40KU6000W....;25;https://www.sspelectronic.com/producto/29-;https://www.sspelectronic.com/images/productos/img/29-1-original.jpg;S;SAMSUNG;2;1300000000026;Fuentes de Alimentación;30.25;0.5 x 0.5 x 0.5;0;Fuente de Alimentación Samsung BN41-02499A BN94-10711A Rev 1.4. UE40KU6000W....
BN96-35335A REV 1.3;Fuente Alimentación Samsung BN96-35335A REV 1.3;25;https://www.sspelectronic.com/producto/30-;https://www.sspelectronic.com/images/productos/img/30-1-original.jpg;S;SAMSUNG;2;1300000000027;Fuentes de Alimentación;30.25;0.5 x 0.5 x 0.5;0;Fuente Alimentación Samsung BN96-35335A REV 1.3
BN96-35335A REV 1.2;Fuente Alimentación Samsung BN96-35335A REV 1.2;25;https://www.sspelectronic.com/producto/31-;https://www.sspelectronic.com/images/productos/img/31-1-original.jpg;S;;2;1300000000028;Fuentes de Alimentación;30.25;0.5 x 0.5 x 0.5;0;Fuente Alimentación Samsung BN96-35335A REV 1.2
BN44-00703G REV.1.3;Fuente Alimentacion BN44-00703G REV. 1.3  L48S1_FSM;25;https://www.sspelectronic.com/producto/32-;https://www.sspelectronic.com/images/productos/img/32-1-original.jpg;S;SAMSUNG;2;1300000000029;Fuentes de Alimentación;30.25;0.5 x 0.5 x 0.5;0;Fuente Alimentacion BN44-00703G REV. 1.3 L48S1_FSM
BN94-10711A REV.1.1;Fuente de Alimentación Samsung BN41-02499A BN94-10711A Rev 1.1. UE40KU6000W....;25;https://www.sspelectronic.com/producto/33-;https://www.sspelectronic.com/images/productos/img/33-1-original.jpg;S;;2;1300000000030;Fuentes de Alimentación;30.25;0.5 x 0.5 x 0.5;1;Fuente de Alimentación Samsung BN41-02499A BN94-10711A Rev 1.1. UE40KU6000W....
